"ImagePath","MatchedKeyword","MatchedFullText","Confidence"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\analytics\images\execution analyzer.png","XO","UXO","95.536858"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\assist-configuration\images\business-rule-answer.png","kore","kiuyhbbnbnguyuhttps://koreteam.a","79.889008"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\assist-configuration\images\rate-limit-log.png","kore","koncen@kore.com)","33.195427"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\channels\images\teams_4.png","kore","(Kore.ai","93.168022"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\channels\images\teams_4.png","kore.ai","(Kore.ai","93.168022"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\channels\images\teams_5.png","kore","Kore.ai","93.072945"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\channels\images\teams_5.png","kore.ai","Kore.ai","93.072945"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\custom-agents\images\Agent_Testing_3.png","Gale","Gale?","96.528938"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\custom-agents\images\Agent_Testing_3.png","Gale","Gale","96.765457"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\custom-agents\images\AI_agent_workflow.png","Gale","Gale","96.400597"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\custom-agents\images\import-workflow.png","Gale","GALE","97.006302"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\custom-agents\images\work-agent-select-tools.png","kore","kore","96.379684"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_1.png","kore","KORE.AI","91.786087"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_1.png","kore.ai","KORE.AI","91.786087"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_1.png","kore","Kore.ai","91.354927"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_1.png","kore.ai","Kore.ai","91.354927"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_11.png","kore","kore.ai","92.085823"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_11.png","kore.ai","kore.ai","92.085823"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore","Kore.ai","90.815453"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore.ai","Kore.ai","90.815453"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore","kore:","6.535263"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore","Kore.ai","92.206810"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore.ai","Kore.ai","92.206810"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore","Kore.ai","77.134178"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore.ai","Kore.ai","77.134178"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore","Kore.al","63.704971"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore","Koreai-ziwpm","87.016235"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore","Kore.ai","72.251892"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_12.png","kore.ai","Kore.ai","72.251892"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_13.png","kore","Kore.ai","54.624020"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_13.png","kore.ai","Kore.ai","54.624020"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_13.png","kore","Kore.al","59.259064"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_13.png","kore","Kore.ai","88.942581"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_13.png","kore.ai","Kore.ai","88.942581"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_13.png","kore","Kore.ai","87.097679"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_13.png","kore.ai","Kore.ai","87.097679"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_14.png","kore","Kore.al","44.642357"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_14.png","kore","Kore.al","92.708138"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_14.png","kore","Kore.ai","90.314331"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_14.png","kore.ai","Kore.ai","90.314331"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_3.5.png","kore","Kore","96.844803"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\integration\images\AmazonQ_4.7.png","kore","Kore","96.314606"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\llm-configuration\images\business-rule-answer.png","kore","kiuyhbbnbnguyuhttps://koreteam.a","79.889008"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\llm-configuration\images\rate-limit-log.png","kore","koncen@kore.com)","33.195427"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\security\images\domain-management-main.png","kore","kore.com","84.579468"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\security\images\domain-management-main.png","kore","kore.ai.com","88.008850"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\security\images\domain-management-main.png","kore.ai","kore.ai.com","88.008850"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\security\images\domain-management-main.png","kore","kore.ai","89.767448"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\security\images\domain-management-main.png","kore.ai","kore.ai","89.767448"
"h.Gupta\Documents\GitHub\ai-for-work-stage\docs\ai-for-work\security\images\domain-management-main.png","kore","kore.com_guest","92.123619"
