ImagePath,Match,OCRText,Confidence
analytics\images\execution analyzer.png,xo,UXO,95.446022
assist-configuration\images\business-rule-answer.png,kore,kiuyhbbnbnguyuhttps://koreteam.a,71.714256
assist-configuration\images\rate-limit-log.png,kore,koncen@kore.com),47.916912
channels\images\teams_4.png,kore,(Kore.ai,93.017303
channels\images\teams_4.png,kore.ai,(Kore.ai,93.017303
channels\images\teams_5.png,kore,Kore.ai,93.062485
channels\images\teams_5.png,kore.ai,Kore.ai,93.062485
custom-agents\images\Agent_Testing_3.png,gale,Gale?,96.029968
custom-agents\images\Agent_Testing_3.png,gale,Gale,96.471916
custom-agents\images\AI_agent_workflow.png,gale,Gale,96.021629
custom-agents\images\work-agent-select-tools.png,kore,kore,96.949715
integration\images\AmazonQ_1.png,kore,KORE.AI,88.027931
integration\images\AmazonQ_1.png,kore.ai,KORE.AI,88.027931
integration\images\AmazonQ_1.png,kore,Kore.ai,92.057617
integration\images\AmazonQ_1.png,kore.ai,Kore.ai,92.057617
integration\images\AmazonQ_1.png,kore,Kore.ai,91.539078
integration\images\AmazonQ_1.png,kore.ai,Kore.ai,91.539078
integration\images\AmazonQ_11.png,kore,kore.ai,91.078232
integration\images\AmazonQ_11.png,kore.ai,kore.ai,91.078232
integration\images\AmazonQ_12.png,kore,Kore.ai,91.824585
integration\images\AmazonQ_12.png,kore.ai,Kore.ai,91.824585
integration\images\AmazonQ_12.png,kore,kore.os,0.0
integration\images\AmazonQ_12.png,kore,Kore.ai,92.244186
integration\images\AmazonQ_12.png,kore.ai,Kore.ai,92.244186
integration\images\AmazonQ_12.png,kore,Kore.ai,80.421585
integration\images\AmazonQ_12.png,kore.ai,Kore.ai,80.421585
integration\images\AmazonQ_12.png,kore,Kore.al,85.69252
integration\images\AmazonQ_12.png,kore,Koreai-ziwpm,57.098206
integration\images\AmazonQ_12.png,kore,Kore.ai,74.281097
integration\images\AmazonQ_12.png,kore.ai,Kore.ai,74.281097
integration\images\AmazonQ_13.png,kore,Koreai-8eOwz,67.446686
integration\images\AmazonQ_13.png,kore,Kore.ai,78.71785
integration\images\AmazonQ_13.png,kore.ai,Kore.ai,78.71785
integration\images\AmazonQ_13.png,kore,Kore.al,76.534958
integration\images\AmazonQ_13.png,kore,Kore.ai,88.286255
integration\images\AmazonQ_13.png,kore.ai,Kore.ai,88.286255
integration\images\AmazonQ_13.png,kore,Kore.ai,90.708946
integration\images\AmazonQ_13.png,kore.ai,Kore.ai,90.708946
integration\images\AmazonQ_14.png,kore,Kore.ai,88.736153
integration\images\AmazonQ_14.png,kore.ai,Kore.ai,88.736153
integration\images\AmazonQ_14.png,kore,Kore.al,92.202332
integration\images\AmazonQ_14.png,kore,Kore.al,80.725815
integration\images\AmazonQ_3.5.png,kore,Kore,96.669388
integration\images\AmazonQ_4.7.png,kore,Kore,96.964661
llm-configuration\images\business-rule-answer.png,kore,kiuyhbbnbnguyuhttps://koreteam.a,71.714256
llm-configuration\images\rate-limit-log.png,kore,koncen@kore.com),47.916912
security\images\domain-management-main.png,kore,kore.com,82.123444
security\images\domain-management-main.png,kore,kore.ai.com,84.56929
security\images\domain-management-main.png,kore.ai,kore.ai.com,84.56929
security\images\domain-management-main.png,kore,kore.ai,91.084671
security\images\domain-management-main.png,kore.ai,kore.ai,91.084671
security\images\domain-management-main.png,kore,kore.com_guest,92.356323
